0.00000,45.3390380675,-75.8977901504,43.8863,-1.8220,-10.7421,-0.1426,0.3841,1.3661,-99.5545,0
0.01000,45.3390379037,-75.8977915442,43.8876,-1.8233,-10.7570,-0.1426,0.3851,1.3523,-99.5486,0
0.02000,45.3390377399,-75.8977929380,43.8889,-1.8246,-10.7719,-0.1425,0.3862,1.3385,-99.5426,0
0.03000,45.3390375761,-75.8977943318,43.8902,-1.8259,-10.7868,-0.1425,0.3872,1.3247,-99.5367,0
0.04000,45.3390374123,-75.8977957256,43.8914,-1.8272,-10.8017,-0.1425,0.3883,1.3109,-99.5308,0
0.05000,45.3390372486,-75.8977971194,43.8927,-1.8285,-10.8166,-0.1425,0.3893,1.2971,-99.5248,0
0.06000,45.3390370848,-75.8977985132,43.8940,-1.8298,-10.8316,-0.1424,0.3903,1.2833,-99.5189,0
0.07000,45.3390369210,-75.8977999070,43.8953,-1.8311,-10.8465,-0.1424,0.3914,1.2695,-99.5130,0
0.08000,45.3390367572,-75.8978013008,43.8966,-1.8324,-10.8614,-0.1424,0.3924,1.2557,-99.5070,0
0.09000,45.3390365934,-75.8978026946,43.8979,-1.8337,-10.8763,-0.1423,0.3935,1.2419,-99.5011,0
0.10000,45.3390364296,-75.8978040884,43.8991,-1.8350,-10.8912,-0.1423,0.3945,1.2281,-99.4952,0
0.11000,45.3390362658,-75.8978054821,43.9004,-1.8364,-10.9061,-0.1423,0.3955,1.2143,-99.4892,0
0.12000,45.3390361020,-75.8978068759,43.9017,-1.8377,-10.9210,-0.1422,0.3966,1.2005,-99.4833,0
0.13000,45.3390359382,-75.8978082697,43.9030,-1.8390,-10.9359,-0.1422,0.3976,1.1867,-99.4774,0
0.14000,45.3390357744,-75.8978096635,43.9043,-1.8403,-10.9508,-0.1422,0.3987,1.1729,-99.4714,0
0.15000,45.3390356107,-75.8978110573,43.9056,-1.8416,-10.9657,-0.1422,0.3997,1.1591,-99.4655,0
0.16000,45.3390354469,-75.8978124511,43.9069,-1.8429,-10.9807,-0.1421,0.4007,1.1453,-99.4596,0
0.17000,45.3390352831,-75.8978138449,43.9081,-1.8442,-10.9956,-0.1421,0.4018,1.1315,-99.4537,0
0.18000,45.3390351193,-75.8978152387,43.9094,-1.8455,-11.0105,-0.1421,0.4028,1.1177,-99.4477,0
0.19000,45.3390349555,-75.8978166325,43.9107,-1.8468,-11.0254,-0.1420,0.4039,1.1039,-99.4418,0
0.20000,45.3390347917,-75.8978180263,43.9120,-1.8481,-11.0403,-0.1420,0.4049,1.0901,-99.4359,0
0.21000,45.3390346253,-75.8978194580,43.9128,-1.8496,-11.0553,-0.1368,0.4073,1.0855,-99.4301,0
0.22000,45.3390344589,-75.8978208898,43.9136,-1.8510,-11.0704,-0.1315,0.4096,1.0808,-99.4244,0
0.23000,45.3390342925,-75.8978223215,43.9144,-1.8525,-11.0854,-0.1263,0.4120,1.0762,-99.4186,0
0.24000,45.3390341261,-75.8978237532,43.9152,-1.8539,-11.1005,-0.1211,0.4143,1.0715,-99.4128,0
0.25000,45.3390339597,-75.8978251849,43.9159,-1.8554,-11.1155,-0.1158,0.4167,1.0669,-99.4071,0
0.26000,45.3390337933,-75.8978266167,43.9167,-1.8569,-11.1306,-0.1106,0.4190,1.0622,-99.4013,0
0.27000,45.3390336269,-75.8978280484,43.9175,-1.8583,-11.1456,-0.1054,0.4214,1.0576,-99.3956,0
0.28000,45.3390334605,-75.8978294801,43.9183,-1.8598,-11.1607,-0.1001,0.4238,1.0529,-99.3898,0
0.29000,45.3390332941,-75.8978309118,43.9191,-1.8612,-11.1757,-0.0949,0.4261,1.0483,-99.3841,0
0.30000,45.3390331277,-75.8978323436,43.9199,-1.8627,-11.1908,-0.0897,0.4285,1.0436,-99.3783,0
0.31000,45.3390329613,-75.8978337753,43.9207,-1.8642,-11.2058,-0.0844,0.4308,1.0390,-99.3726,0
